ID,Date,Symbol,Open,High,Low,Close,Volume,Market Cap,Year,Month,Day,DayOfWeek
0,2015-08-07,ETH,2.83,3.54,2.52,2.77,164329.0,0.0,2015,8,8,4
1,2015-08-08,ETH,2.79,2.8,0.714725,0.753325,674188.0,167911008.0,2015,8,8,5
2,2015-08-09,ETH,0.706136,0.87981,0.629191,0.701897,532170.0,42637600.0,2015,8,8,6
3,2015-08-10,ETH,0.713989,0.729854,0.6365460000000001,0.708448,405283.0,43130000.0,2015,8,8,0
4,2015-08-11,ETH,0.708087,1.13,0.663235,1.07,1463100.0,42796500.0,2015,8,8,1
5,2015-08-12,ETH,1.06,1.29,0.883608,1.22,2150620.0,64018400.0,2015,8,8,2
6,2015-08-13,ETH,1.22,1.97,1.17,1.83,4068680.0,73935400.0,2015,8,8,3
7,2015-08-14,ETH,1.81,2.26,1.75,1.83,4637030.0,109594000.0,2015,8,8,4
8,2015-08-15,ETH,1.8,1.88,1.57,1.69,2554360.0,109160000.0,2015,8,8,5
9,2015-08-16,ETH,1.68,1.7,1.09,1.57,3550790.0,102028000.0,2015,8,8,6
10,2015-08-17,ETH,1.58,1.58,1.19,1.2,1942830.0,95819696.0,2015,8,8,0
11,2015-08-18,ETH,1.22,1.33,1.09,1.09,1485680.0,88143200.0,2015,8,8,1
12,2015-08-19,ETH,1.17,1.32,1.17,1.26,1486240.0,84663904.0,2015,8,8,2
13,2015-08-20,ETH,1.25,1.53,1.25,1.46,2843760.0,90809000.0,2015,8,8,3
14,2015-08-21,ETH,1.48,1.56,1.35,1.4,2020970.0,107266000.0,2015,8,8,4
15,2015-08-22,ETH,1.4,1.48,1.35,1.38,948310.0,101404000.0,2015,8,8,5
16,2015-08-23,ETH,1.38,1.41,1.3,1.35,1589300.0,99894496.0,2015,8,8,6
17,2015-08-24,ETH,1.35,1.36,1.23,1.23,924920.0,97791600.0,2015,8,8,0
18,2015-08-25,ETH,1.23,1.24,1.13,1.14,1307180.0,89321904.0,2015,8,8,1
19,2015-08-26,ETH,1.13,1.2,1.06,1.16,1056750.0,82384400.0,2015,8,8,2
20,2015-08-27,ETH,1.17,1.19,1.14,1.15,686662.0,85106096.0,2015,8,8,3
21,2015-08-28,ETH,1.15,1.21,1.12,1.19,721872.0,83521696.0,2015,8,8,4
22,2015-08-29,ETH,1.19,1.21,1.15,1.18,375377.0,86887600.0,2015,8,8,5
23,2015-08-30,ETH,1.18,1.37,1.17,1.32,1337650.0,86145904.0,2015,8,8,6
24,2015-08-31,ETH,1.32,1.4,1.2,1.36,1447180.0,96251000.0,2015,8,8,0
25,2015-09-01,ETH,1.35,1.39,1.34,1.35,778862.0,98617200.0,2015,9,9,1
26,2015-09-02,ETH,1.35,1.35,1.26,1.29,883769.0,98504600.0,2015,9,9,2
27,2015-09-03,ETH,1.3,1.31,1.21,1.26,702991.0,94418704.0,2015,9,9,3
28,2015-09-04,ETH,1.26,1.3,1.24,1.27,474391.0,92234096.0,2015,9,9,4
29,2015-09-05,ETH,1.28,1.34,1.27,1.34,448453.0,93402304.0,2015,9,9,5
30,2015-09-06,ETH,1.34,1.37,1.29,1.3,491968.0,97625504.0,2015,9,9,6
31,2015-09-07,ETH,1.3,1.31,1.24,1.25,489014.0,94585296.0,2015,9,9,0
32,2015-09-08,ETH,1.25,1.28,1.23,1.24,427892.0,91020704.0,2015,9,9,1
33,2015-09-09,ETH,1.24,1.26,1.2,1.21,366748.0,90518304.0,2015,9,9,2
34,2015-09-10,ETH,1.21,1.22,1.14,1.17,662782.0,88230496.0,2015,9,9,3
35,2015-09-11,ETH,1.16,1.17,0.940675,0.982978,1942600.0,85144304.0,2015,9,9,4
36,2015-09-12,ETH,0.9872280000000001,1.11,0.96978,1.04,772430.0,72179000.0,2015,9,9,5
37,2015-09-13,ETH,1.04,1.04,0.902832,0.936003,644138.0,76193600.0,2015,9,9,6
38,2015-09-14,ETH,0.940566,0.9493870000000001,0.8717600000000001,0.8756219999999999,741085.0,68814400.0,2015,9,9,0
39,2015-09-15,ETH,0.875189,1.05,0.875189,0.9444100000000001,703390.0,64052400.0,2015,9,9,1
40,2015-09-16,ETH,0.9419770000000001,0.9526979999999999,0.901639,0.907175,615593.0,68963296.0,2015,9,9,2
41,2015-09-17,ETH,0.9068649999999999,0.9092040000000001,0.831132,0.874231,897940.0,66415200.0,2015,9,9,3
42,2015-09-18,ETH,0.874574,0.8881020000000001,0.833908,0.853685,484622.0,64071300.0,2015,9,9,4
43,2015-09-19,ETH,0.8496030000000001,0.911883,0.833784,0.882391,386988.0,62262700.0,2015,9,9,5
44,2015-09-20,ETH,0.881191,0.947741,0.8732049999999999,0.9384450000000001,508314.0,64600000.0,2015,9,9,6
45,2015-09-21,ETH,0.9414959999999999,0.957326,0.878301,0.919047,424039.0,69045904.0,2015,9,9,0
46,2015-09-22,ETH,0.9193370000000001,0.9193370000000001,0.865225,0.9017959999999999,487914.0,67444200.0,2015,9,9,1
47,2015-09-23,ETH,0.90356,0.90891,0.885136,0.8934059999999999,200541.0,66309600.0,2015,9,9,2
48,2015-09-24,ETH,0.8967959999999999,0.9085709999999999,0.79346,0.81361,842505.0,65836400.0,2015,9,9,3
49,2015-09-25,ETH,0.820031,0.825665,0.712745,0.736223,903457.0,60221400.0,2015,9,9,4
50,2015-09-26,ETH,0.73763,0.7875439999999999,0.709328,0.785964,369620.0,54188900.0,2015,9,9,5
